MET file converted from FVCOM filessm_mc_20_0.83alb.dat
KT = coef of heat exchange (watts/m2/C) (not used), TE = equil temp (C) (not used)
 IO = PAR (E/m2/day), FD=Fraction of day, and WS = wind speed (m/s)
    JDAY    KT      TE      IO      FD      WS  
 216.500  14.940  23.030  60.386   0.583   2.818
 217.500  14.940  23.030  61.473   0.583   3.185
 218.500  14.940  23.030  18.315   0.583   3.437
 219.500  14.940  23.030  53.764   0.583   2.866
 220.500  14.940  23.030  50.219   0.583   2.711
 221.500  14.940  23.030  60.898   0.582   2.878
 222.500  14.940  23.030  55.159   0.582   3.450
 223.500  14.940  23.030  50.756   0.581   3.156
 224.500  14.940  23.030  58.519   0.580   2.158
 225.500  14.940  23.030  59.261   0.579   2.727
 226.500  14.940  23.030  58.556   0.578   3.047
 227.500  14.940  23.030  58.369   0.577   3.865
 228.500  14.940  23.030  56.907   0.572   1.967
 229.500  14.940  23.030  56.812   0.567   3.236
 230.500  14.940  23.030  53.009   0.562   2.520
 231.500  14.940  23.030  52.840   0.557   2.390
 232.500  14.940  23.030  50.433   0.552   5.492
 233.500  14.940  23.030  43.993   0.547   5.635
 234.500  14.940  23.030  55.618   0.542   3.029
 235.500  14.940  23.030  51.832   0.542   3.115
 236.500  14.940  23.030  51.506   0.542   2.633
 237.500  14.940  23.030  53.904   0.542   2.917
 238.500  14.940  23.030  52.301   0.542   2.883
 239.500  14.940  23.030  53.034   0.542   2.577
 240.500  14.940  23.030  49.298   0.542   2.593
 241.500  14.940  23.030  48.749   0.542   1.736
 242.500  14.940  23.030  48.498   0.538   2.626
 243.500  14.940  23.030  48.623   0.535   1.950
 244.500  14.940  23.030  49.454   0.531   2.312
 245.500  14.940  23.030  44.035   0.528   2.570
 246.500  14.940  23.030  49.087   0.525   4.067
 247.500  14.940  23.030  47.691   0.521   2.975
 248.500  14.940  23.030  41.575   0.518   1.858
 249.500  14.940  23.030  43.559   0.514   2.348
 250.500  14.940  23.030  47.868   0.511   5.002
 251.500  14.940  23.030  48.118   0.508   4.442
 252.500  14.940  23.030  47.201   0.504   4.910
 253.500  14.940  23.030  46.976   0.501   4.410
 254.500  14.940  23.030  44.498   0.497   2.414
 255.500  14.940  23.030  43.117   0.494   1.972
 256.500  14.940  23.030  32.433   0.488   2.110
 257.500  14.940  23.030  28.968   0.482   2.740
 258.500  14.940  23.030  38.510   0.476   2.320
 259.500  14.940  23.030  38.639   0.470   2.370
 260.500  14.940  23.030  35.584   0.464   2.622
 261.500  14.940  23.030  27.773   0.458   2.234
 262.500  14.940  23.030   9.267   0.452   2.413
 263.500  14.940  23.030  38.400   0.453   1.781
 264.500  14.940  23.030  32.966   0.454   2.020
 265.500  14.940  23.030  31.024   0.455   2.964
 266.500  14.940  23.030  16.307   0.456   7.528
 267.500  14.940  23.030  28.020   0.457   7.231
 268.500  14.940  23.030  19.833   0.457   5.457
